English,Portuguese
Seychelles Rupee,Rúpia das Seychelles
Sierra Leone Leone,Serra Leoa Leoa
Silver Ounces,Onças de prata
Singapore Dollar,Dólar de Singapura
Slovak Koruna,Coroa Eslovaca
Slovenian Tolar,Tolar esloveno
Somali Shilling,Xelim da Somália
South African Rand,Rand sul-africano
Sri Lanka Rupee,Rúpia do Sri Lanka
St Helena Pound,Libra de Santa Helena
Sudanese Dinar,Dinar Sudanês
Surinam Guilder,Florim do Suriname
Swaziland Lilageni,Lilageni da Suazilândia
Swedish Krona,Coroa sueca
Swiss Franc,Franco suíço
Syrian Pound,Libra síria
Taiwan Dollar,Dólar taiwanês
Tanzanian Shilling,Xelim da Tanzânia
Thai Baht,Baht tailandês
Tonga Paanga,Tonga Paanga
Trinidad&Tobago Dollar,Dólar de Trinidad e Tobago
Tunisian Dinar,Dinar Tunisino
U.S. Dollar,Dólar americano
UAE Dirham,Emirados Árabes Unidos
Ugandan Shilling,Xelim de Uganda
Ukraine Hryvnia,Ucrânia Hryvnia
Uruguayan New Peso,Peso Uruguaio
Vanuatu Vatu,Vanuatu Vatu
Venezuelan Bolivar,Bolívar venezuelano
Vietnam Dong,Dong do vietnã
Yemen Riyal,Rial iemenita
Zambian Kwacha,Kwacha zambiano
Zimbabwe Dollar,Dólar zimbabuano
Guyana Dollar,Dólar da Guiana
Aruban florin,Florim de Aruba
Armenian dram,Dram armênio
Azerbaijani manat,Manat do Azerbaijão
Barbadian dollar,Dólar de Barbados
Bosnian Convertible Marka,Marka conversível bósnio
Botswana pula,Pula do Botswana
Cape Verdean escudo,Escudo cabo-verdiano
Congolese franc,Franco congolês
Fijian Dollar,Dólar fijiano
CFP franc,Franco CFP
Georgian lari,Lari georgiano
Iraqi dinar,Dinar iraquiano
Kyrgyzstani som,Som do Quirguistão
Liberian dollar,Dólar liberiano
Malagasy ariary,Ariário malgaxe
Burmese Kyat,Birmanês Kyat
North Korean won,Won norte-coreano
nuevo sol,nuevo sol
Serbian dinar,Dinar sérvio
South Korean won,Won sul-coreano
South Sudanese pound,Libra do Sudão do Sul
Sudanese pound,Libra sudanesa
Surinamese dollar,Dólar surinamês
Tajikistani samani,Tajiquistão samani
Turkish lira,Lira turca
Turkmenistan manat,Turkmenistan manat
Pound sterling,Libra esterlina
Uzbekistani soʻm,Uzbekistani so'm
Saint Helena pound,Libra Santa Helena
Indian Rupees,Rúpias indianas
CLI Pool,CLI Pool
Download,Download
TRUE,VERDADEIRO
FALSE,FALSO
--Select Type--,--Selecione o tipo--
One Time,Um tempo
Recurring,Recorrente
Recurring Monthly,Mensalmente recorrente
Outbound,Saída
Default,Padrão
Speed Dial Number Added Successfully,Número de discagem rápida adicionado com sucesso
"Are you sure want to confirm this invoice ? once you confirm it, can not able to edit invoice again.","Tem certeza de que deseja confirmar esta fatura? depois de confirmar, não é possível editar a fatura novamente."
DIDs already purchased by someone.,DIDs já comprados por alguém.
DIDs Assigned sucessfully!,DIDs atribuídos com sucesso!
Something wrong.Please contact to administrator.,Algo errado. Entre em contato com o administrador.
Duplicate DID found from database,DID duplicado encontrado no banco de dados
Account have not sufficient amount to purchase this DID.,A conta não tem quantidade suficiente para comprar este DID.
Account not found or assign to invalid account,Conta não encontrada ou atribuída a uma conta inválida
Duplicate DID found from import file.,DID duplicado encontrado no arquivo de importação.
DIDs Imported Successfully!,DIDs importados com sucesso!
Insuffiecient fund to purchase this DID.,Fundo insuficiente para comprar este DID.
Balance Below Notification,Saldo abaixo da notificação
Edit SIP device,Editar dispositivo SIP
Note : Page will display only receipts and confirmed invoices.,Observação: a página exibirá apenas recibos e faturas confirmadas.
Termination Rate Updated Successfully!,Taxa de rescisão atualizada com sucesso!
Import Termination Rates Using Field Mapper,Taxas de rescisão de importação usando mapeador de campo
Edit Roles & Permissions,Editar funções e permissões
Create Roles & Permissions,Criar funções e permissões
Edit Admin,Editar Admin
Pin Updated Successfully!.,Pin atualizado com sucesso !.
Create Termination Rate,Criar taxa de rescisão
Edit Company Profile,Editar Perfil da Empresa
Website,Local na rede Internet
Generate Invoice for no usage,Gerar fatura sem uso
Commission Repots,Relatórios de Comissão
Top Up,Completar
Purchase DIDs,Compra DIDs
Package,Pacote
Setup,Configurar
DID Purchased Successfully.,DID adquirido com sucesso.
release,liberação
DID Batch Updated Successfully!,Lote DID atualizado com sucesso!
DID forwading set sucessfully!,DID forwading definido com sucesso!
Are you sure want to release DID?,Tem certeza que deseja liberar DID?
Please select atleast one record,Selecione pelo menos um registro
Account Balance,Saldo da conta
Next Bill Date,Próxima data de faturamento
TOTAL AMOUNT,MONTANTE TOTAL
Invoice,Fatura
IP Address,Endereço de IP
Terminate,Terminar
Seconds,Segundos
Recording,Gravação
Rates,Cotações
Paid,Pago
No Records,Não há registros
Please select from date,Por favor selecione a partir da data
Please select to date,"Por favor, selecione a data"
Please select to date bigger than from date,Selecione uma data maior do que a data inicial
Confirm,confirme
Edit Country,Editar País
Skip Header,Pular Cabeçalho
Origination_rate_error,Origination_rate_error
Termination_rate_error,Termination_rate_error
Termination_Rates,Termination_Rates
Origination_Rates,Origination_Rates
refill_coupon,refill_coupon
Edit Reseller,Editar revendedor
Edit Calltype,Editar Calltype
updated successfully!,Atualizado com sucesso!
added successfully!,adicionado com sucesso!
Invoice generation completed .,Geração de fatura concluída.
NOTE,NOTA
No data found.,Nenhum dado encontrado.
Added successfully!,Adicionado com sucesso!
DID added successfully!,FOI adicionado com sucesso!
DID updated successfully!,FIZ atualizado com sucesso!
File must be in the following format(.csv):,O arquivo deve estar no seguinte formato (.csv):
Process,Processar
DID Import Error,Erro de importação DID
Records Imported Successfully,Registros importados com sucesso
Records Not Imported,Registros não importados
Back to DID List,Voltar para a lista DID
DID Batch Updated Successfully!,Lote DID atualizado com sucesso!
Accessnumber Added Successfully!,Número de acesso adicionado com sucesso!
Process,Processar
Accessnumber Import Error,Erro de importação de número de acesso
DIDs Assigned sucessfully!,DIDs atribuídos com sucesso!
Origination Rates Preview,Visualização das taxas de originação
Origination Rates Import Error,Erro de importação de taxas de origem
Back to Origination Rates List,Voltar para a lista de taxas de originação
Origination Rates Batch Updated Successfully!,Lote de taxas de originação atualizado com sucesso!
Import Ratedeck Preview,Importar visualização de verificação nominal
CALLTYPE,CALLTYPE
Edit Calltype,Editar Calltype
Outbound-Proxy,Outbound-Proxy
Edit Trunk,Editar tronco
Termination Rate Added Successfully!,Taxa de rescisão adicionada com sucesso!
Edit Termination Rate,Editar taxa de rescisão
Termination Rates Import Error,Erro de importação de taxas de rescisão
Termination Rates Imported Successfully!,Taxas de rescisão importadas com sucesso!
Back to Origination Rates List,Voltar para a lista de taxas de originação
Select,Selecione
pattern,padronizar
comment,Comente
connectcost,connectcost
includedseconds,includedsegundos
init_inc,init_inc
inc,inc
prepend,prefixar
cost,custo
strip,faixa
DID added successfully!,FOI adicionado com sucesso!
DID updated successfully!,FIZ atualizado com sucesso!
Country Name,Nome do país
PAID,PAGO
PENDING,PENDENTE
FAIL,FALHOU
ORDER,PEDIDO
payment method,Forma de pagamento
Terminate Order,Encerrar pedido
Compose Email,Escrever um email
Message,Mensagem
Send,Mandar
SIP Port is Required.,A porta SIP é necessária.
Start,Começar
SIP Port is Required.,A porta SIP é necessária.
SIP IP is Required.,O IP SIP é obrigatório.
Name is Required.,O nome é obrigatório.
The SIP Port field is Required.,O campo Porta SIP é obrigatório.
The SIP Port field must contain only numbers.,O campo Porta SIP deve conter apenas números.
The SIP Port field can not exceed 5 characters in length.,O campo Porta SIP não pode ter mais de 5 caracteres.
Value is Required.,Valor é requerido.
Value,Valor
Update Setting,Configuração de atualização
Add Setting,Adicionar configuração
Edit Freeswitch Server,Editar Servidor Freeswitch
CUT,CORTAR
ADD,ADICIONAR
Edit Localization,Editar localização
Callbarring Settings Added Successfully!,Configurações de barra de chamadas adicionadas com sucesso!
Edit Call Barring,Editar bloqueio de chamadas
Callbarring Settings Updated Successfully!,Configurações de barra de chamada atualizadas com sucesso!
The Name field is required.,O campo nome é obrigatório.
Please select file.,Selecione o arquivo.
Database import allows only gzfile types of file.,A importação de banco de dados permite apenas tipos de arquivo gzfile.
File must be in (.gz) format :,O arquivo deve estar no formato (.gz):
The Coupon Number field must contain only numbers.,O campo Número do cupom deve conter apenas números.
The Coupon Number field have inactive refill coupon.,O campo Número do cupom tem cupom de recarga inativo.
This Coupon Number is already in use.,Este número de cupom já está em uso.
This Coupon Number is not found.,Este número de cupom não foi encontrado.
The Coupon Number field is required.,O campo Número do cupom é obrigatório.
Select Customer.,Selecione Cliente.
Please enter your email,Por favor introduza o seu e-mail
Please enter proper email,"Por favor, insira o e-mail adequado"
The Caller ID field is required.,O campo Caller ID é obrigatório.
Please enter your password,"Por favor, insira sua senha"
Please enter your first name,por favor entre com seu primeiro nome
Please enter your email,Por favor introduza o seu e-mail
This field is require,Este campo é obrigatório
The IP field must contain a unique value.,O campo IP deve conter um valor único.
The Name field is required.,O campo nome é obrigatório.
The IP field is required.,O campo IP é obrigatório.
Please Enter Valid Account Number,Insira um número de conta válido
Main,Principal
--Select Disposition--,--Selecione disposição--
Group By #time,Agrupar por # hora
Active User,Usuário Ativo
Used Minutes,Minutos Usados
Available Minutes,Minutos disponíveis
Total Price,Preço total
Total User,Usuário Total
Resend Mail,Reenviar e-mail
Restore,Restaurar
View Details,Ver detalhes
Other,Outro
Edit Tax,Editar imposto
Edit Country,Editar País
Download Database,Baixar banco de dados
Import Database,Importar banco de dados
File must be in (.gz) format,O arquivo deve estar no formato (.gz)
Please select file.,Selecione o arquivo.
Please enter name and select file.,"Por favor, insira o nome e selecione o arquivo."
Edit Cron Settings,Editar configurações do cron
Global Settings updated sucessfully!,Configurações globais atualizadas com sucesso!
Alert Notifications,Notificações de alerta
Fraud Configuration,Configuração de Fraude
Configuration Add,Adicionar configuração
Alarm Configuration,Configuração de Alarme
Please select atleast one pattern.,Selecione pelo menos um padrão.
Problem In Add Patterns to account.,Problema em adicionar padrões à conta.
Blocked Codes,Códigos Bloqueados
The IP field must contain a unique value.,O campo IP deve conter um valor único.
The IP field is required.,O campo IP é obrigatório.
Please Enter Switch command,"Por favor, digite o comando Switch"
are you sure to delete?,Você tem certeza que quer deletar?
Are you sure want to confirm this invoice ? once you confirm it,Tem certeza de que deseja confirmar esta fatura? depois de confirmar
can not able to edit invoice again.,não pode editar a fatura novamente.
Maximum Logo upload size is 1MB,O tamanho máximo de upload do logotipo é 1 MB
Profit per day,Lucro por dia
Please enter number,Por favor insira o número
Import Customer,Cliente de Importação
Processing,Em processamento
please wait,"por favor, aguarde"
Low Balance,Baixo Saldo
Trunk Statistics,Estatísticas de tronco
Current Balance,Saldo Atual
Europe/Andorra,Europa / Andorra
Asia/Dubai,Asia / Dubai
Asia/Kabul,Asia / Kabul
America/Antigua,America / Antigua
America/Anguilla,America / Anguilla
Europe/Tirane,Europa / Tirane
Asia/Yerevan,Asia / Yerevan
Africa/Luanda,Africa / Luanda
Antarctica/Casey,Antarctica / Casey
Antarctica/Davis,Antarctica / Davis
Antarctica/DumontDUrville,Antarctica / DumontDUrville
Antarctica/Mawson,Antarctica / Mawson
Antarctica/McMurdo,Antarctica / McMurdo
Antarctica/Palmer,Antarctica / Palmer
Antarctica/Rothera,Antarctica / Rothera
Antarctica/Syowa,Antarctica / Syowa
Antarctica/Troll,Antártica / Troll
Antarctica/Vostok,Antártica / Vostok
America/Argentina/Buenos_Aires,América / Argentina / Buenos_Aires
America/Argentina/Catamarca,América / Argentina / Catamarca
America/Argentina/Cordoba,América / Argentina / Córdoba
America/Argentina/Jujuy,América / Argentina / Jujuy
America/Argentina/La_Rioja,América / Argentina / La_Rioja
America/Argentina/Mendoza,América / Argentina / Mendoza
America/Argentina/Rio_Gallegos,América / Argentina / Rio_Gallegos
America/Argentina/Salta,América / Argentina / Salta
America/Argentina/San_Juan,América / Argentina / San_Juan
America/Argentina/San_Luis,América / Argentina / San_Luis
America/Argentina/Tucuman,América / Argentina / Tucuman
America/Argentina/Ushuaia,América / Argentina / Ushuaia
Pacific/Pago_Pago,Pacífico / Pago_Pago
Europe/Vienna,Europa / Viena
Antarctica/Macquarie,Antarctica / Macquarie
Australia/Adelaide,Austrália / Adelaide
Australia/Brisbane,Australia / Brisbane
Australia/Broken_Hill,Australia / Broken_Hill
Australia/Currie,Australia / Currie
Australia/Darwin,Australia / Darwin
Australia/Eucla,Australia / Eucla
Australia/Hobart,Australia / Hobart
Australia/Lindeman,Australia / Lindeman
Australia/Lord_Howe,Austrália / Lord_Howe
Australia/Melbourne,Australia / Melbourne
Australia/Perth,Australia / Perth
Australia/Sydney,Australia / Sydney
America/Aruba,America / Aruba
Europe/Mariehamn,Europa / Mariehamn
Asia/Baku,Asia / Baku
Europe/Sarajevo,Europa / Sarajevo
America/Barbados,America / Barbados
Asia/Dhaka,Asia / Dhaka
Europe/Brussels,Europa / Bruxelas
Africa/Ouagadougou,Africa / Ouagadougou
Europe/Sofia,Europa / Sofia
Asia/Bahrain,Asia / Bahrain
Africa/Bujumbura,Africa / Bujumbura
Africa/Porto-Novo,Africa / Porto-Novo
America/St_Barthelemy,America / St_Barthelemy
Atlantic/Bermuda,Atlantic / Bermuda
Asia/Brunei,Asia / Brunei
America/La_Paz,America / La_Paz
America/Kralendijk,America / Kralendijk
America/Araguaina,America / Araguaína
America/Bahia,America / Bahia
America/Belem,America / Belem
America/Boa_Vista,America / Boa_Vista
America/Campo_Grande,America / Campo_Grande
America/Cuiaba,America / Cuiabá
America/Eirunepe,America / Eirunepe
America/Fortaleza,America / Fortaleza
America/Maceio,America / Maceió
America/Manaus,America / Manaus
America/Noronha,America / Noronha
America/Porto_Velho,América / Porto_Velho
America/Recife,America / Recife
America/Rio_Branco,America / Rio_Branco
America/Santarem,America / Santarem
America/Sao_Paulo,America / Sao_Paulo
America/Nassau,America / Nassau
Asia/Thimphu,Asia / Thimphu
Africa/Gaborone,Africa / Gaborone
Europe/Minsk,Europa / Minsk
America/Belize,America / Belize
America/Atikokan,América / Atikokan
America/Blanc-Sablon,America / Blanc-Sablon
America/Cambridge_Bay,America / Cambridge_Bay
America/Creston,America / Creston
America/Dawson,America / Dawson
America/Dawson_Creek,America / Dawson_Creek
America/Edmonton,America / Edmonton
America/Fort_Nelson,America / Fort_Nelson
America/Glace_Bay,America / Glace_Bay
America/Goose_Bay,America / Goose_Bay
America/Halifax,America / Halifax
America/Inuvik,America / Inuvik
America/Iqaluit,America / Iqaluit
America/Moncton,America / Moncton
America/Nipigon,America / Nipigon
America/Pangnirtung,America / Pangnirtung
America/Rainy_River,America / Rainy_River
America/Rankin_Inlet,America / Rankin_Inlet
America/Regina,America / Regina
America/Resolute,America / Resolute
America/St_Johns,America / St_Johns
America/Swift_Current,America / Swift_Current
America/Thunder_Bay,America / Thunder_Bay
America/Toronto,America / Toronto
America/Vancouver,America / Vancouver
America/Whitehorse,America / Whitehorse
America/Winnipeg,America / Winnipeg
America/Yellowknife,America / Yellowknife
Indian/Cocos,Indian / Cocos
Africa/Kinshasa,Africa / Kinshasa
Africa/Lubumbashi,Africa / Lubumbashi
Africa/Bangui,Africa / Bangui
Africa/Brazzaville,Africa / Brazzaville
Europe/Zurich,Europa / Zurique
Africa/Abidjan,Africa / Abidjan
Pacific/Rarotonga,Pacífico / Rarotonga
America/Punta_Arenas,America / Punta_Arenas
America/Santiago,America / Santiago
Pacific/Easter,Pacífico / Páscoa
Africa/Douala,Africa / Douala
Asia/Shanghai,Asia / Shanghai
Asia/Urumqi,Asia / Urumqi
America/Bogota,America / Bogota
America/Costa_Rica,America / Costa_Rica
America/Havana,America / Havana
Atlantic/Cape_Verde,Atlantic / Cape_Verde
America/Curacao,America / Curaçao
Indian/Christmas,Índio / natal
Asia/Famagusta,Asia / Famagusta
Asia/Nicosia,Asia / Nicosia
Europe/Prague,Europa / Praga
Europe/Berlin,Europa / Berlim
Europe/Busingen,Europa / Busingen
Africa/Djibouti,Africa / Djibouti
Europe/Copenhagen,Europa / Copenhague
America/Dominica,America / Dominica
America/Santo_Domingo,America / Santo_Domingo
Africa/Algiers,Africa / Algiers
America/Guayaquil,America / Guayaquil
Pacific/Galapagos,Pacífico / Galápagos
Europe/Tallinn,Europa / Tallinn
Africa/Cairo,Africa / Cairo
Africa/El_Aaiun,Africa / El_Aaiun
Africa/Asmara,Africa / Asmara
Africa/Ceuta,Africa / Ceuta
Atlantic/Canary,Atlântico / Canárias
Europe/Madrid,Europa / Madrid
Africa/Addis_Ababa,Africa / Addis_Ababa
Europe/Helsinki,Europa / Helsinque
Pacific/Fiji,Pacífico / Fiji
Atlantic/Stanley,Atlantic / Stanley
Pacific/Chuuk,Pacífico / Chuuk
Pacific/Kosrae,Pacífico / Kosrae
Pacific/Pohnpei,Pacífico / Pohnpei
Atlantic/Faroe,Atlantic / Faroe
Europe/Paris,Europa / Paris
Africa/Libreville,Africa / Libreville
Europe/London,Europa / Londres
America/Grenada,America / Grenada
Asia/Tbilisi,Asia / Tbilisi
America/Cayenne,America / Cayenne
Europe/Guernsey,Europa / Guernsey
Africa/Accra,Africa / Accra
Europe/Gibraltar,Europa / Gibraltar
America/Danmarkshavn,America / Danmarkshavn
America/Nuuk,America / Nuuk
America/Scoresbysund,America / Scoresbysund
America/Thule,America / Thule
Africa/Banjul,Africa / Banjul
Africa/Conakry,Africa / Conakry
America/Guadeloupe,América / Guadalupe
Africa/Malabo,Africa / Malabo
Europe/Athens,Europa / Atenas
Atlantic/South_Georgia,Atlantic / South_Georgia
America/Guatemala,America / Guatemala
Pacific/Guam,Pacífico / Guam
Africa/Bissau,Africa / Bissau
America/Guyana,América / Guiana
Asia/Hong_Kong,Asia / Hong_Kong
America/Tegucigalpa,America / Tegucigalpa
Europe/Zagreb,Europa / Zagreb
America/Port-au-Prince,América / Port-au-Prince
Europe/Budapest,Europa / Budapeste
Asia/Jakarta,Asia / Jakarta
Asia/Jayapura,Asia / Jayapura
Asia/Makassar,Asia / Makassar
Asia/Pontianak,Asia / Pontianak
Europe/Dublin,Europa / Dublin
Asia/Jerusalem,Ásia / Jerusalém
Europe/Isle_of_Man,Europe / Isle_of_Man
Asia/Kolkata,Asia / Kolkata
Indian/Chagos,Indiano / Chagos
Asia/Baghdad,Ásia / Bagdá
Asia/Tehran,Asia / Teerã
Atlantic/Reykjavik,Atlantic / Reykjavik
Europe/Rome,Europa / Roma
Europe/Jersey,Europa / Jersey
America/Jamaica,America / Jamaica
Asia/Amman,Asia / Amman
Asia/Tokyo,Asia / Tokyo
Africa/Nairobi,Africa / Nairobi
Asia/Bishkek,Asia / Bishkek
Asia/Phnom_Penh,Asia / Phnom_Penh
Pacific/Enderbury,Pacific / Enderbury
Pacific/Kiritimati,Pacífico / Kiritimati
Pacific/Tarawa,Pacífico / Tarawa
Indian/Comoro,Indiano / Comoro
America/St_Kitts,America / St_Kitts
Asia/Pyongyang,Asia / Pyongyang
Asia/Seoul,Asia / Seoul
Asia/Kuwait,Asia / Kuwait
America/Cayman,América / Cayman
Asia/Almaty,Asia / Almaty
Asia/Aqtau,Asia / Aqtau
Asia/Aqtobe,Asia / Aqtobe
Asia/Atyrau,Asia / Atyrau
Asia/Oral,Asia / Oral
Asia/Qostanay,Asia / Qostanay
Asia/Qyzylorda,Asia / Qyzylorda
Asia/Vientiane,Asia / Vientiane
Asia/Beirut,Asia / Beirut
America/St_Lucia,America / St_Lucia
Europe/Vaduz,Europa / Vaduz
Asia/Colombo,Asia / Colombo
Africa/Monrovia,Africa / Monrovia
Africa/Maseru,Africa / Maseru
Europe/Vilnius,Europa / Vilnius
Europe/Luxembourg,Europa / Luxemburgo
Europe/Riga,Europa / Riga
Africa/Tripoli,Africa / Tripoli
Africa/Casablanca,Africa / Casablanca
Europe/Monaco,Europa / Mônaco
Europe/Chisinau,Europa / Chisinau
Europe/Podgorica,Europa / Podgorica
America/Marigot,America / Marigot
Indian/Antananarivo,Indian / Antananarivo
Pacific/Kwajalein,Pacífico / Kwajalein
Pacific/Majuro,Pacífico / Majuro
Europe/Skopje,Europa / Skopje
Africa/Bamako,Africa / Bamako
Asia/Yangon,Asia / Yangon
Asia/Choibalsan,Asia / Choibalsan
Asia/Hovd,Asia / Hovd
Asia/Ulaanbaatar,Asia / Ulaanbaatar
Asia/Macau,Asia / Macau
Pacific/Saipan,Pacífico / Saipan
America/Martinique,América / Martinica
Africa/Nouakchott,Africa / Nouakchott
America/Montserrat,America / Montserrat
Europe/Malta,Europa / Malta
Indian/Mauritius,Índico / Maurício
Indian/Maldives,Índia / Maldivas
Africa/Blantyre,Africa / Blantyre
America/Bahia_Banderas,America / Bahia_Banderas
America/Cancun,America / Cancún
America/Chihuahua,America / Chihuahua
America/Hermosillo,America / Hermosillo
America/Matamoros,America / Matamoros
America/Mazatlan,America / Mazatlan
America/Merida,America / Merida
America/Mexico_City,America / Mexico_City
America/Monterrey,America / Monterrey
America/Ojinaga,America / Ojinaga
America/Tijuana,America / Tijuana
Asia/Kuala_Lumpur,Asia / Kuala_Lumpur
Asia/Kuching,Asia / Kuching
Africa/Maputo,Africa / Maputo
Africa/Windhoek,Africa / Windhoek
Pacific/Noumea,Pacífico / Noumea
Africa/Niamey,Africa / Niamey
Pacific/Norfolk,Pacífico / Norfolk
Africa/Lagos,Africa / Lagos
America/Managua,America / Managua
Europe/Amsterdam,Europa / Amsterdã
Europe/Oslo,Europa / Oslo
Asia/Kathmandu,Asia / Kathmandu
Pacific/Nauru,Pacífico / Nauru
Pacific/Niue,Pacífico / Niue
Pacific/Auckland,Pacífico / Auckland
Pacific/Chatham,Pacífico / Chatham
Asia/Muscat,Asia / Muscat
America/Panama,America / Panama
America/Lima,America / Lima
Pacific/Gambier,Pacífico / Gambier
Pacific/Marquesas,Pacífico / Marquesas
Pacific/Tahiti,Pacífico / Taiti
Pacific/Bougainville,Pacífico / Bougainville
Pacific/Port_Moresby,Pacífico / Port_Moresby
Asia/Manila,Asia / Manila
Asia/Karachi,Asia / Karachi
Europe/Warsaw,Europa / Varsóvia
America/Miquelon,America / Miquelon
Pacific/Pitcairn,Pacífico / Pitcairn
America/Puerto_Rico,America / Puerto_Rico
Asia/Gaza,Asia / Gaza
Asia/Hebron,Asia / Hebron
Atlantic/Azores,Atlântico / açores
Atlantic/Madeira,Atlantic / Madeira
Europe/Lisbon,Europa / Lisboa
Pacific/Palau,Pacífico / Palau
America/Asuncion,América / Assunção
Asia/Qatar,Asia / Qatar
Indian/Reunion,Índico / Reunião
Europe/Bucharest,Europa / Bucareste
Europe/Belgrade,Europa / Belgrado
Asia/Anadyr,Asia / Anadyr
Asia/Barnaul,Asia / Barnaul
Asia/Chita,Asia / Chita
Asia/Irkutsk,Asia / Irkutsk
Asia/Kamchatka,Asia / Kamchatka
Asia/Khandyga,Asia / Khandyga
Asia/Krasnoyarsk,Asia / Krasnoyarsk
Asia/Magadan,Asia / Magadan
Asia/Novokuznetsk,Asia / Novokuznetsk
Asia/Novosibirsk,Asia / Novosibirsk
Asia/Omsk,Asia / Omsk
Asia/Sakhalin,Asia / Sakhalin
Asia/Srednekolymsk,Asia / Srednekolymsk
Asia/Tomsk,Asia / Tomsk
Asia/Ust-Nera,Asia / Ust-Nera
Asia/Vladivostok,Asia / Vladivostok
Asia/Yakutsk,Asia / Yakutsk
Asia/Yekaterinburg,Asia / Yekaterinburg
Europe/Astrakhan,Europa / Astrakhan
Europe/Kaliningrad,Europa / Kaliningrado
Europe/Kirov,Europa / Kirov
Europe/Moscow,Europa / Moscou
Europe/Samara,Europa / Samara
Europe/Saratov,Europa / Saratov
Europe/Ulyanovsk,Europa / Ulyanovsk
Europe/Volgograd,Europa / Volgogrado
Africa/Kigali,Africa / Kigali
Asia/Riyadh,Asia / Riyadh
Pacific/Guadalcanal,Pacífico / Guadalcanal
Indian/Mahe,Índio / mahe
Africa/Khartoum,Africa / Cartum
Europe/Stockholm,Europa / Estocolmo
Asia/Singapore,Ásia / Cingapura
Atlantic/St_Helena,Atlantic / St_Helena
Europe/Ljubljana,Europa / Liubliana
Arctic/Longyearbyen,Ártico / Longyearbyen
Europe/Bratislava,Europa / Bratislava
Africa/Freetown,Africa / Freetown
Europe/San_Marino,Europa / San_Marino
Africa/Dakar,Africa / Dakar
Africa/Mogadishu,Africa / Mogadishu
America/Paramaribo,America / Paramaribo
Africa/Juba,Africa / Juba
Africa/Sao_Tome,Africa / Sao_Tome
America/El_Salvador,America / El_Salvador
America/Lower_Princes,America / Lower_Princes
Asia/Damascus,Asia / Damascus
Africa/Mbabane,Africa / Mbabane
America/Grand_Turk,America / Grand_Turk
Africa/Ndjamena,Africa / Ndjamena
Indian/Kerguelen,Indian / Kerguelen
Africa/Lome,Africa / Lome
Asia/Bangkok,Asia / Bangkok
Asia/Dushanbe,Asia / Dushanbe
Pacific/Fakaofo,Pacífico / Fakaofo
Asia/Dili,Asia / Dili
Asia/Ashgabat,Asia / Ashgabat
Africa/Tunis,Africa / Tunis
Pacific/Tongatapu,Pacífico / Tongatapu
Europe/Istanbul,Europa / Istambul
America/Port_of_Spain,America / Port_of_Spain
Pacific/Funafuti,Pacífico / Funafuti
Asia/Taipei,Asia / Taipei
Africa/Dar_es_Salaam,Africa / Dar_es_Salaam
Europe/Kiev,Europa / Kiev
Europe/Simferopol,Europa / Simferopol
Europe/Uzhgorod,Europa / Uzhgorod
Europe/Zaporozhye,Europa / Zaporozhye
Africa/Kampala,Africa / Kampala
Pacific/Midway,Pacífico / Midway
Pacific/Wake,Pacífico / Wake
America/Adak,America / Adak
America/Anchorage,America / Anchorage
America/Boise,America / Boise
America/Chicago,America / Chicago
America/Denver,America / Denver
America/Detroit,America / Detroit
America/Indiana/Indianapolis,América / Indiana / Indianápolis
America/Indiana/Knox,América / Indiana / Knox
America/Indiana/Marengo,América / Indiana / Marengo
America/Indiana/Petersburg,América / Indiana / Petersburgo
America/Indiana/Tell_City,América / Indiana / Tell_City
America/Indiana/Vevay,América / Indiana / Vevay
America/Indiana/Vincennes,América / Indiana / Vincennes
America/Indiana/Winamac,América / Indiana / Winamac
America/Juneau,America / Juneau
America/Kentucky/Louisville,América / Kentucky / Louisville
America/Kentucky/Monticello,América / Kentucky / Monticello
America/Los_Angeles,America / Los_Angeles
America/Menominee,America / Menominee
America/Metlakatla,America / Metlakatla
America/New_York,America / New_York
America/Nome,America / Nome
America/North_Dakota/Beulah,America / North_Dakota / Beulah
America/North_Dakota/Center,America / North_Dakota / Center
America/North_Dakota/New_Salem,America / North_Dakota / New_Salem
America/Phoenix,America / Phoenix
America/Sitka,America / Sitka
America/Yakutat,America / Yakutat
Pacific/Honolulu,Pacífico / Honolulu
America/Montevideo,América / Montevidéu
Asia/Samarkand,Asia / Samarkand
Asia/Tashkent,Asia / Tashkent
Europe/Vatican,Europa / Vaticano
America/St_Vincent,America / St_Vincent
America/Caracas,America / Caracas
America/Tortola,America / Tortola
America/St_Thomas,America / St_Thomas
Asia/Ho_Chi_Minh,Asia / Ho_Chi_Minh
Pacific/Efate,Pacífico / Efate
Pacific/Wallis,Pacific / Wallis
Pacific/Apia,Pacífico / Apia
Asia/Aden,Asia / Aden
Indian/Mayotte,Indian / Mayotte
Africa/Johannesburg,Africa / Johannesburg
Africa/Lusaka,Africa / Lusaka
Africa/Harare,Africa / Harare
Emails,Emails
Add IP Settings,Adicionar configurações de IP
Edit IP Settings,Editar configurações de IP
Edit Caller ID,Editar identificador de chamadas
Invoice Date Interval,Intervalo da data da fatura
Use same credential for Invoice Config,Use a mesma credencial para configuração de fatura
Registration URL,URL de registro
Account Status,Status da Conta
Admin,Admin
Sub Admin,Sub Admin
Edit Accessnumber,Editar número de acesso
Edit Rate Group,Editar Grupo de Taxa
Percentage (Enterprise),Porcentagem (empresa)
