English,French
Maltese Lira,Lire maltaise
Mauritania Ougulya,Mauritanie Ougulya
Mauritius Rupee,Roupie mauricienne
Mexican Peso,Peso mexicain
Moldovan Leu,Leu moldave
Mongolian Tugrik,Mongol Tugrik
Moroccan Dirham,Dirham marocain
Mozambique Metical,Mozambique Metical
Namibian Dollar,Dollar namibien
Nepalese Rupee,Roupie népalaise
Neth Antilles Guilder,Florin des Antilles Néerlandaises
New Turkish Lira,Nouvelle livre turque
New Zealand Dollar,Dollar néo-zélandais
Nicaragua Cordoba,Nicaragua Cordoba
Nigerian Naira,Naira nigérian
Norwegian Krone,Couronne norvégienne
Omani Rial,Rial omanais
Pacific Franc,Franc du Pacifique
Pakistani Rupee,Roupie pakistanaise
Palladium Ounces,Onces de palladium
Panama Balboa,Panama Balboa
Papua New Guinea Kina,Papouasie-Nouvelle-Guinée Kina
Paraguayan Guarani,Guarani paraguayen
Peruvian Nuevo Sol,Nuevo Sol péruvien
Philippine Peso,Peso philippin
Platinum Ounces,Onces de platine
Polish Zloty,Zloty polonais
Qatar Rial,Qatar Rial
Romanian Leu,Leu roumain
Romanian New Leu,Nouveau Leu roumain
Russian Rouble,Rouble russe
Rwanda Franc,Franc rwandais
Samoa Tala,Samoa Tala
Sao Tome Dobra,Sao Tomé Dobra
Saudi Arabian Riyal,Riyal saoudien
Seychelles Rupee,Roupie des Seychelles
Sierra Leone Leone,Sierra Leone Leone
Silver Ounces,Onces d'argent
Singapore Dollar,Dollar de Singapour
Slovak Koruna,Couronne slovaque
Slovenian Tolar,Tolar slovène
Somali Shilling,Shilling somalien
South African Rand,Rand sud-africain
Sri Lanka Rupee,Roupie de Sri Lanka
St Helena Pound,Livre de Sainte-Hélène
Sudanese Dinar,Dinar soudanais
Surinam Guilder,Florin du Surinam
Swaziland Lilageni,Swaziland Lilageni
Swedish Krona,Couronne suédoise
Swiss Franc,Franc suisse
Syrian Pound,Livre syrienne
Taiwan Dollar,Dollar de Taïwan
Tanzanian Shilling,Shilling tanzanien
Thai Baht,Baht thaïlandais
Tonga Paanga,Tonga Paanga
Trinidad&Tobago Dollar,Dollar de Trinité-et-Tobago
Tunisian Dinar,Dinar tunisien
U.S. Dollar,Dollars américain
UAE Dirham,Dirham des EAU
Ugandan Shilling,Shilling ougandais
Ukraine Hryvnia,Ukraine Hryvnia
Uruguayan New Peso,Nouveau peso uruguayen
Vanuatu Vatu,Vanuatu Vatu
Venezuelan Bolivar,Bolivar vénézuélien
Vietnam Dong,Vietnam Dong
Yemen Riyal,Yémen Riyal
Zambian Kwacha,Kwacha zambien
Zimbabwe Dollar,Dollar du Zimbabwe
Guyana Dollar,Dollar du Guyana
Aruban florin,Florin d'Aruba
Armenian dram,Dram arménien
Azerbaijani manat,Manat azerbaïdjanais
Barbadian dollar,Dollar barbadien
Bosnian Convertible Marka,Marka convertible bosniaque
Botswana pula,Pula du Botswana
Cape Verdean escudo,Escudo cap-verdien
Congolese franc,Franc congolais
Fijian Dollar,Dollar fidjien
CFP franc,Franc CFP
Georgian lari,Lari géorgien
Iraqi dinar,Dinar irakien
Kyrgyzstani som,Som kirghize
Liberian dollar,Dollar libérien
Malagasy ariary,Ariary malgache
Burmese Kyat,Kyat birman
North Korean won,Won nord-coréen
nuevo sol,nuevo sol
Serbian dinar,Dinar serbe
South Korean won,Won sud-coréen
South Sudanese pound,Livre sud-soudanaise
Sudanese pound,Livre soudanaise
Surinamese dollar,Dollar surinamais
Tajikistani samani,Samani du Tadjikistan
Turkish lira,Lire turque
Turkmenistan manat,Manat du Turkménistan
Pound sterling,Livre sterling
Uzbekistani soʻm,Ouzbékistan
Saint Helena pound,Livre de Sainte-Hélène
Indian Rupees,Roupies indiennes
CLI Pool,Pool CLI
Download,Télécharger
TRUE,VRAI
FALSE,FAUX
--Select Type--,--Sélectionner le genre--
One Time,Une fois
Recurring,Récurrent
Recurring Monthly,Récurrent mensuel
Outbound,Sortant
Default,Défaut
Speed Dial Number Added Successfully,Numéro abrégé ajouté avec succès
"Are you sure want to confirm this invoice ? once you confirm it, can not able to edit invoice again.","Voulez-vous vraiment confirmer cette facture? une fois que vous le confirmez, vous ne pouvez plus modifier la facture."
DIDs already purchased by someone.,DID déjà achetés par quelqu'un.
DIDs Assigned sucessfully!,DID attribués avec succès!
Something wrong.Please contact to administrator.,"Quelque chose ne va pas, veuillez contacter l'administrateur."
Duplicate DID found from database,DID dupliqué trouvé dans la base de données
Account have not sufficient amount to purchase this DID.,Le compte n'a pas un montant suffisant pour acheter ce DID.
Account not found or assign to invalid account,Compte introuvable ou attribué à un compte non valide
Duplicate DID found from import file.,Duplicate DID trouvé à partir du fichier d'importation.
DIDs Imported Successfully!,Les DID ont été importés avec succès!
Insuffiecient fund to purchase this DID.,Fonds insuffisant pour acheter ce DID.
Balance Below Notification,Solde en dessous de la notification
Edit SIP device,Modifier le périphérique SIP
Note : Page will display only receipts and confirmed invoices.,Remarque: La page n'affichera que les reçus et les factures confirmées.
Termination Rate Updated Successfully!,Taux de résiliation mis à jour avec succès!
Import Termination Rates Using Field Mapper,Importer les taux de résiliation à l'aide de Field Mapper
Edit Roles & Permissions,Modifier les rôles et les autorisations
Create Roles & Permissions,Créer des rôles et des autorisations
Edit Admin,Modifier l'administrateur
Pin Updated Successfully!.,Épingle mise à jour avec succès!.
Create Termination Rate,Créer un taux de résiliation
Edit Company Profile,Modifier le profil de l'entreprise
Website,Site Internet
Generate Invoice for no usage,Générer une facture sans utilisation
Commission Repots,Remboursements de commission
Top Up,Recharger
Purchase DIDs,Acheter des DID
Package,Paquet
Setup,Installer
DID Purchased Successfully.,Acheté avec succès.
release,Libération
DID Batch Updated Successfully!,Le lot a-t-il été mis à jour avec succès!
DID forwading set sucessfully!,DID forwading set avec succès!
Are you sure want to release DID?,Voulez-vous vraiment publier DID?
Please select atleast one record,Veuillez sélectionner au moins un enregistrement
Account Balance,Solde du compte
Next Bill Date,Prochaine date de facturation
TOTAL AMOUNT,MONTANT TOTAL
Invoice,Facturer
IP Address,Adresse IP
Terminate,Mettre fin
Seconds,Secondes
Recording,Enregistrement
Rates,Les taux
Paid,Payé
No Records,Pas d'enregistrements
Please select from date,Veuillez sélectionner une date
Please select to date,Veuillez sélectionner à ce jour
Please select to date bigger than from date,Veuillez sélectionner une date supérieure à la date de début
Confirm,Confirmer
Edit Country,Modifier le pays
Skip Header,Ignorer l'en-tête
Origination_rate_error,Origination_rate_error
Termination_rate_error,Termination_rate_error
Termination_Rates,Termination_Rates
Origination_Rates,Origination_Rates
refill_coupon,refill_coupon
Edit Reseller,Modifier le revendeur
Edit Calltype,Modifier le type d'appel
updated successfully!,Mis à jour avec succés!
added successfully!,ajouté avec succès!
Invoice generation completed .,Génération de la facture terminée.
NOTE,REMARQUE
No data found.,Aucune donnée disponible.
Added successfully!,Ajouté avec succès!
DID added successfully!,DID ajouté avec succès!
DID updated successfully!,DID mis à jour avec succès!
File must be in the following format(.csv):,Le fichier doit être au format suivant (.csv):
Process,Traiter
DID Import Error,Erreur d'importation DID
Records Imported Successfully,Enregistrements importés avec succès
Records Not Imported,Enregistrements non importés
Back to DID List,Retour à la liste DID
DID Batch Updated Successfully!,Le lot a-t-il été mis à jour avec succès!
Accessnumber Added Successfully!,Numéro d'accès ajouté avec succès!
Process,Traiter
Accessnumber Import Error,Erreur d'importation du numéro d'accès
DIDs Assigned sucessfully!,DID attribués avec succès!
Origination Rates Preview,Aperçu des taux d'origination
Origination Rates Import Error,Erreur d'importation des taux d'origine
Back to Origination Rates List,Retour à la liste des tarifs d'origine
Origination Rates Batch Updated Successfully!,Taux d'origination Lot mis à jour avec succès!
Import Ratedeck Preview,Importer l'aperçu Ratedeck
CALLTYPE,CALLTYPE
Edit Calltype,Modifier le type d'appel
Outbound-Proxy,Proxy sortant
Edit Trunk,Modifier le tronc
Termination Rate Added Successfully!,Taux de résiliation ajouté avec succès!
Edit Termination Rate,Modifier le taux de résiliation
Termination Rates Import Error,Erreur d'importation des taux de résiliation
Termination Rates Imported Successfully!,Taux de résiliation importés avec succès!
Back to Origination Rates List,Retour à la liste des tarifs d'origine
Select,Sélectionner
pattern,schéma
comment,commenter
connectcost,connectcost
includedseconds,inclussecondes
init_inc,init_inc
inc,inc
prepend,préfixer
cost,Coût
strip,déshabiller
DID added successfully!,DID ajouté avec succès!
DID updated successfully!,DID mis à jour avec succès!
Country Name,Nom du pays
PAID,PAYÉ
PENDING,EN ATTENDANT
FAIL,ÉCHOUER
ORDER,ORDRE
payment method,mode de paiement
Terminate Order,Annuler la commande
Compose Email,Écrire un email
Message,Un message
Send,Envoyer
SIP Port is Required.,Le port SIP est requis.
Start,Démarrer
SIP Port is Required.,Le port SIP est requis.
SIP IP is Required.,L'adresse IP SIP est requise.
Name is Required.,Le nom est requis.
The SIP Port field is Required.,Le champ Port SIP est obligatoire.
The SIP Port field must contain only numbers.,Le champ Port SIP ne doit contenir que des chiffres.
The SIP Port field can not exceed 5 characters in length.,Le champ Port SIP ne peut pas dépasser 5 caractères.
Value is Required.,Valeur est requise.
Value,Valeur
Update Setting,Réglage de la mise à jour
Add Setting,Ajouter un paramètre
Edit Freeswitch Server,Modifier le serveur Freeswitch
CUT,COUPER
ADD,AJOUTER
Edit Localization,Modifier la localisation
Callbarring Settings Added Successfully!,Paramètres de contrôle d'appel ajoutés avec succès!
Edit Call Barring,Modifier l'interdiction d'appels
Callbarring Settings Updated Successfully!,Mise à jour réussie des paramètres d'appel!
The Name field is required.,Il est requis de compléter le champ correspondant au nom.
Please select file.,Veuillez sélectionner un fichier.
Database import allows only gzfile types of file.,L'importation de base de données n'autorise que les types de fichiers gzfile.
File must be in (.gz) format :,Le fichier doit être au format (.gz):
The Coupon Number field must contain only numbers.,Le champ Numéro de coupon ne doit contenir que des chiffres.
The Coupon Number field have inactive refill coupon.,Le champ Numéro de coupon contient un coupon de recharge inactif.
This Coupon Number is already in use.,Ce numéro de coupon est déjà utilisé.
This Coupon Number is not found.,Ce numéro de coupon est introuvable.
The Coupon Number field is required.,Le champ Numéro de coupon est obligatoire.
Select Customer.,Sélectionnez Client.
Please enter your email,Veuillez entrer votre email
Please enter proper email,Veuillez saisir une adresse e-mail correcte
The Caller ID field is required.,Le champ ID de l'appelant est obligatoire.
Please enter your password,s'il vous plait entrez votre mot de passe
Please enter your first name,Entrez votre prénom s'il vous plait
Please enter your email,Veuillez entrer votre email
This field is require,Ce champ est obligatoire
The IP field must contain a unique value.,Le champ IP doit contenir une valeur unique.
The Name field is required.,Il est requis de compléter le champ correspondant au nom.
The IP field is required.,Le champ IP est obligatoire.
Please Enter Valid Account Number,Veuillez saisir un numéro de compte valide
Main,Principale
--Select Disposition--,--Sélectionnez Disposition--
Group By #time,Regrouper par #time
Active User,Utilisateur actif
Used Minutes,Minutes utilisées
Available Minutes,Minutes disponibles
Total Price,Prix ​​total
Total User,Utilisateur total
Resend Mail,Renvoyer le courrier
Restore,Restaurer
View Details,Voir les détails
Other,Autre
Edit Tax,Modifier la taxe
Edit Country,Modifier le pays
Download Database,Télécharger la base de données
Import Database,Importer la base de données
File must be in (.gz) format,Le fichier doit être au format (.gz)
Please select file.,Veuillez sélectionner un fichier.
Please enter name and select file.,Veuillez entrer le nom et sélectionner le fichier.
Edit Cron Settings,Modifier les paramètres Cron
Global Settings updated sucessfully!,Paramètres globaux mis à jour avec succès!
Alert Notifications,Notifications d'alerte
Fraud Configuration,Configuration de la fraude
Configuration Add,Ajout de configuration
Alarm Configuration,Configuration d'alarme
Please select atleast one pattern.,Veuillez sélectionner au moins un motif.
Problem In Add Patterns to account.,Problème lors de l'ajout de modèles au compte.
Blocked Codes,Codes bloqués
The IP field must contain a unique value.,Le champ IP doit contenir une valeur unique.
The IP field is required.,Le champ IP est obligatoire.
Please Enter Switch command,Veuillez entrer la commande de commutation
are you sure to delete?,Êtes-vous sûr de vouloir supprimer?
Are you sure want to confirm this invoice ? once you confirm it,Voulez-vous vraiment confirmer cette facture? une fois que vous le confirmez
can not able to edit invoice again.,impossible de modifier à nouveau la facture.
Maximum Logo upload size is 1MB,La taille maximale de téléchargement du logo est de 1 Mo
Profit per day,Bénéfice par jour
Please enter number,Veuillez entrer le numéro
Import Customer,Importer un client
Processing,Traitement
please wait,"S'il vous plaît, attendez"
Low Balance,Balance faible
Trunk Statistics,Statistiques du tronc
Current Balance,Solde actuel
Europe/Andorra,Europe / Andorre
Asia/Dubai,Asie / Dubaï
Asia/Kabul,Asie / Kaboul
America/Antigua,Amérique / Antigua
America/Anguilla,Amérique / Anguilla
Europe/Tirane,Europe / Tirane
Asia/Yerevan,Asie / Erevan
Africa/Luanda,Afrique / Luanda
Antarctica/Casey,Antarctique / Casey
Antarctica/Davis,Antarctique / Davis
Antarctica/DumontDUrville,Antarctique / DumontDUrville
Antarctica/Mawson,Antarctique / Mawson
Antarctica/McMurdo,Antarctique / McMurdo
Antarctica/Palmer,Antarctique / Palmer
Antarctica/Rothera,Antarctique / Rothera
Antarctica/Syowa,Antarctique / Syowa
Antarctica/Troll,Antarctique / Troll
Antarctica/Vostok,Antarctique / Vostok
America/Argentina/Buenos_Aires,Amérique / Argentine / Buenos_Aires
America/Argentina/Catamarca,Amérique / Argentine / Catamarca
America/Argentina/Cordoba,Amérique / Argentine / Cordoba
America/Argentina/Jujuy,Amérique / Argentine / Jujuy
America/Argentina/La_Rioja,Amérique / Argentine / La_Rioja
America/Argentina/Mendoza,Amérique / Argentine / Mendoza
America/Argentina/Rio_Gallegos,Amérique / Argentine / Rio_Gallegos
America/Argentina/Salta,Amérique / Argentine / Salta
America/Argentina/San_Juan,Amérique / Argentine / San_Juan
America/Argentina/San_Luis,Amérique / Argentine / San_Luis
America/Argentina/Tucuman,Amérique / Argentine / Tucuman
America/Argentina/Ushuaia,Amérique / Argentine / Ushuaia
Pacific/Pago_Pago,Pacifique / Pago_Pago
Europe/Vienna,Europe / Vienne
Antarctica/Macquarie,Antarctique / Macquarie
Australia/Adelaide,Australie / Adélaïde
Australia/Brisbane,Australie / Brisbane
Australia/Broken_Hill,Australie / Broken_Hill
Australia/Currie,Australie / Currie
Australia/Darwin,Australie / Darwin
Australia/Eucla,Australie / Eucla
Australia/Hobart,Australie / Hobart
Australia/Lindeman,Australie / Lindeman
Australia/Lord_Howe,Australie / Lord_Howe
Australia/Melbourne,Australie / Melbourne
Australia/Perth,Australie / Perth
Australia/Sydney,Australie / Sydney
America/Aruba,Amérique / Aruba
Europe/Mariehamn,Europe / Mariehamn
Asia/Baku,Asie / Bakou
Europe/Sarajevo,Europe / Sarajevo
America/Barbados,Amérique / Barbade
Asia/Dhaka,Asie / Dhaka
Europe/Brussels,Europe / Bruxelles
Africa/Ouagadougou,Afrique / Ouagadougou
Europe/Sofia,Europe / Sofia
Asia/Bahrain,Asie / Bahreïn
Africa/Bujumbura,Afrique / Bujumbura
Africa/Porto-Novo,Afrique / Porto-Novo
America/St_Barthelemy,Amérique / St_Barthelemy
Atlantic/Bermuda,Atlantique / Bermudes
Asia/Brunei,Asie / Brunei
America/La_Paz,Amérique / La_Paz
America/Kralendijk,Amérique / Kralendijk
America/Araguaina,Amérique / Araguaina
America/Bahia,Amérique / Bahia
America/Belem,Amérique / Belem
America/Boa_Vista,Amérique / Boa_Vista
America/Campo_Grande,Amérique / Campo_Grande
America/Cuiaba,Amérique / Cuiaba
America/Eirunepe,Amérique / Eirunepe
America/Fortaleza,Amérique / Fortaleza
America/Maceio,Amérique / Maceio
America/Manaus,Amérique / Manaus
America/Noronha,Amérique / Noronha
America/Porto_Velho,Amérique / Porto_Velho
America/Recife,Amérique / Recife
America/Rio_Branco,Amérique / Rio_Branco
America/Santarem,Amérique / Santarem
America/Sao_Paulo,Amérique / Sao_Paulo
America/Nassau,Amérique / Nassau
Asia/Thimphu,Asie / Thimphu
Africa/Gaborone,Afrique / Gaborone
Europe/Minsk,Europe / Minsk
America/Belize,Amérique / Belize
America/Atikokan,Amérique / Atikokan
America/Blanc-Sablon,Amérique / Blanc-Sablon
America/Cambridge_Bay,Amérique / Cambridge_Bay
America/Creston,Amérique / Creston
America/Dawson,Amérique / Dawson
America/Dawson_Creek,Amérique / Dawson_Creek
America/Edmonton,Amérique / Edmonton
America/Fort_Nelson,Amérique / Fort_Nelson
America/Glace_Bay,Amérique / Glace_Bay
America/Goose_Bay,Amérique / Goose_Bay
America/Halifax,Amérique / Halifax
America/Inuvik,Amérique / Inuvik
America/Iqaluit,Amérique / Iqaluit
America/Moncton,Amérique / Moncton
America/Nipigon,Amérique / Nipigon
America/Pangnirtung,Amérique / Pangnirtung
America/Rainy_River,Amérique / Rainy_River
America/Rankin_Inlet,Amérique / Rankin_Inlet
America/Regina,Amérique / Regina
America/Resolute,Amérique / Résolu
America/St_Johns,Amérique / St_Johns
America/Swift_Current,Amérique / Swift_Current
America/Thunder_Bay,Amérique / Thunder_Bay
America/Toronto,Amérique / Toronto
America/Vancouver,Amérique / Vancouver
America/Whitehorse,Amérique / Whitehorse
America/Winnipeg,Amérique / Winnipeg
America/Yellowknife,Amérique / Yellowknife
Indian/Cocos,Indien / Cocos
Africa/Kinshasa,Afrique / Kinshasa
Africa/Lubumbashi,Afrique / Lubumbashi
Africa/Bangui,Afrique / Bangui
Africa/Brazzaville,Afrique / Brazzaville
Europe/Zurich,Europe / Zurich
Africa/Abidjan,Afrique / Abidjan
Pacific/Rarotonga,Pacifique / Rarotonga
America/Punta_Arenas,Amérique / Punta_Arenas
America/Santiago,Amérique / Santiago
Pacific/Easter,Pacifique / Pâques
Africa/Douala,Afrique / Douala
Asia/Shanghai,Asie / Shanghai
Asia/Urumqi,Asie / Urumqi
America/Bogota,Amérique / Bogota
America/Costa_Rica,Amérique / Costa_Rica
America/Havana,Amérique / La Havane
Atlantic/Cape_Verde,Atlantique / Cap_Verde
America/Curacao,Amérique / Curaçao
Indian/Christmas,Indien / Noël
Asia/Famagusta,Asie / Famagouste
Asia/Nicosia,Asie / Nicosie
Europe/Prague,Europe / Prague
Europe/Berlin,Europe / Berlin
Europe/Busingen,Europe / Busingen
Africa/Djibouti,Afrique / Djibouti
Europe/Copenhagen,Europe / Copenhague
America/Dominica,Amérique / Dominique
America/Santo_Domingo,Amérique / Santo_Domingo
Africa/Algiers,Afrique / Alger
America/Guayaquil,Amérique / Guayaquil
Pacific/Galapagos,Pacifique / Galapagos
Europe/Tallinn,Europe / Tallinn
Africa/Cairo,Afrique / Le Caire
Africa/El_Aaiun,Afrique / El_Aaiun
Africa/Asmara,Afrique / Asmara
Africa/Ceuta,Afrique / Ceuta
Atlantic/Canary,Atlantique / Canaries
Europe/Madrid,Europe / Madrid
Africa/Addis_Ababa,Afrique / Addis_Ababa
Europe/Helsinki,Europe / Helsinki
Pacific/Fiji,Pacifique / Fidji
Atlantic/Stanley,Atlantique / Stanley
Pacific/Chuuk,Pacifique / Chuuk
Pacific/Kosrae,Pacifique / Kosrae
Pacific/Pohnpei,Pacifique / Pohnpei
Atlantic/Faroe,Atlantique / Féroé
Europe/Paris,Europe / Paris
Africa/Libreville,Afrique / Libreville
Europe/London,Europe / Londres
America/Grenada,Amérique / Grenade
Asia/Tbilisi,Asie / Tbilissi
America/Cayenne,Amérique / Cayenne
Europe/Guernsey,Europe / Guernesey
Africa/Accra,Afrique / Accra
Europe/Gibraltar,Europe / Gibraltar
America/Danmarkshavn,Amérique / Danmarkshavn
America/Nuuk,Amérique / Nuuk
America/Scoresbysund,Amérique / Scoresbysund
America/Thule,Amérique / Thulé
Africa/Banjul,Afrique / Banjul
Africa/Conakry,Afrique / Conakry
America/Guadeloupe,Amérique / Guadeloupe
Africa/Malabo,Afrique / Malabo
Europe/Athens,Europe / Athènes
Atlantic/South_Georgia,Atlantique / Sud_Georgia
America/Guatemala,Amérique / Guatemala
Pacific/Guam,Pacifique / Guam
Africa/Bissau,Afrique / Bissau
America/Guyana,Amérique / Guyane
Asia/Hong_Kong,Asie / Hong_Kong
America/Tegucigalpa,Amérique / Tegucigalpa
Europe/Zagreb,Europe / Zagreb
America/Port-au-Prince,Amérique / Port-au-Prince
Europe/Budapest,Europe / Budapest
Asia/Jakarta,Asie / Jakarta
Asia/Jayapura,Asie / Jayapura
Asia/Makassar,Asie / Makassar
Asia/Pontianak,Asie / Pontianak
Europe/Dublin,Europe / Dublin
Asia/Jerusalem,Asie / Jérusalem
Europe/Isle_of_Man,Europe / Isle_of_Man
Asia/Kolkata,Asie / Calcutta
Indian/Chagos,Indien / Chagos
Asia/Baghdad,Asie / Bagdad
Asia/Tehran,Asie / Téhéran
Atlantic/Reykjavik,Atlantique / Reykjavik
Europe/Rome,Europe / Rome
Europe/Jersey,Europe / Jersey
America/Jamaica,Amérique / Jamaïque
Asia/Amman,Asie / Amman
Asia/Tokyo,Asie / Tokyo
Africa/Nairobi,Afrique / Nairobi
Asia/Bishkek,Asie / Bichkek
Asia/Phnom_Penh,Asie / Phnom_Penh
Pacific/Enderbury,Pacifique / Enderbury
Pacific/Kiritimati,Pacifique / Kiritimati
Pacific/Tarawa,Pacifique / Tarawa
Indian/Comoro,Indien / Comores
America/St_Kitts,Amérique / St_Kitts
Asia/Pyongyang,Asie / Pyongyang
Asia/Seoul,Asie / Séoul
Asia/Kuwait,Asie / Koweït
America/Cayman,Amérique / Cayman
Asia/Almaty,Asie / Almaty
Asia/Aqtau,Asie / Aqtau
Asia/Aqtobe,Asie / Aqtobe
Asia/Atyrau,Asie / Atyrau
Asia/Oral,Asie / Oral
Asia/Qostanay,Asie / Qostanay
Asia/Qyzylorda,Asie / Qyzylorda
Asia/Vientiane,Asie / Vientiane
Asia/Beirut,Asie / Beyrouth
America/St_Lucia,Amérique / St_Lucia
Europe/Vaduz,Europe / Vaduz
Asia/Colombo,Asie / Colombo
Africa/Monrovia,Afrique / Monrovia
Africa/Maseru,Afrique / Maseru
Europe/Vilnius,Europe / Vilnius
Europe/Luxembourg,Europe / Luxembourg
Europe/Riga,Europe / Riga
Africa/Tripoli,Afrique / Tripoli
Africa/Casablanca,Afrique / Casablanca
Europe/Monaco,Europe / Monaco
Europe/Chisinau,Europe / Chisinau
Europe/Podgorica,Europe / Podgorica
America/Marigot,Amérique / Marigot
Indian/Antananarivo,Indien / Antananarivo
Pacific/Kwajalein,Pacifique / Kwajalein
Pacific/Majuro,Pacifique / Majuro
Europe/Skopje,Europe / Skopje
Africa/Bamako,Afrique / Bamako
Asia/Yangon,Asie / Yangon
Asia/Choibalsan,Asie / Choibalsan
Asia/Hovd,Asie / Hovd
Asia/Ulaanbaatar,Asie / Oulan-Bator
Asia/Macau,Asie / Macao
Pacific/Saipan,Pacifique / Saipan
America/Martinique,Amérique / Martinique
Africa/Nouakchott,Afrique / Nouakchott
America/Montserrat,Amérique / Montserrat
Europe/Malta,Europe / Malte
Indian/Mauritius,Indien / Maurice
Indian/Maldives,Indien / Maldives
Africa/Blantyre,Afrique / Blantyre
America/Bahia_Banderas,Amérique / Bahia_Banderas
America/Cancun,Amérique / Cancun
America/Chihuahua,Amérique / Chihuahua
America/Hermosillo,Amérique / Hermosillo
America/Matamoros,Amérique / Matamoros
America/Mazatlan,Amérique / Mazatlan
America/Merida,Amérique / Merida
America/Mexico_City,Amérique / Mexico_City
America/Monterrey,Amérique / Monterrey
America/Ojinaga,Amérique / Ojinaga
America/Tijuana,Amérique / Tijuana
Asia/Kuala_Lumpur,Asie / Kuala_Lumpur
Asia/Kuching,Asie / Kuching
Africa/Maputo,Afrique / Maputo
Africa/Windhoek,Afrique / Windhoek
Pacific/Noumea,Pacifique / Nouméa
Africa/Niamey,Afrique / Niamey
Pacific/Norfolk,Pacifique / Norfolk
Africa/Lagos,Afrique / Lagos
America/Managua,Amérique / Managua
Europe/Amsterdam,Europe / Amsterdam
Europe/Oslo,Europe / Oslo
Asia/Kathmandu,Asie / Katmandou
Pacific/Nauru,Pacifique / Nauru
Pacific/Niue,Pacifique / Niue
Pacific/Auckland,Pacifique / Auckland
Pacific/Chatham,Pacifique / Chatham
Asia/Muscat,Asie / Muscat
America/Panama,Amérique / Panama
America/Lima,Amérique / Lima
Pacific/Gambier,Pacifique / Gambier
Pacific/Marquesas,Pacifique / Marquises
Pacific/Tahiti,Pacifique / Tahiti
Pacific/Bougainville,Pacifique / Bougainville
Pacific/Port_Moresby,Pacifique / Port_Moresby
Asia/Manila,Asie / Manille
Asia/Karachi,Asie / Karachi
Europe/Warsaw,Europe / Varsovie
America/Miquelon,Amérique / Miquelon
Pacific/Pitcairn,Pacifique / Pitcairn
America/Puerto_Rico,Amérique / Puerto_Rico
Asia/Gaza,Asie / Gaza
Asia/Hebron,Asie / Hébron
Atlantic/Azores,Atlantique / Açores
Atlantic/Madeira,Atlantique / Madère
Europe/Lisbon,Europe / Lisbonne
Pacific/Palau,Pacifique / Palau
America/Asuncion,Amérique / Asuncion
Asia/Qatar,Asie / Qatar
Indian/Reunion,Indien / Réunion
Europe/Bucharest,Europe / Bucarest
Europe/Belgrade,Europe / Belgrade
Asia/Anadyr,Asie / Anadyr
Asia/Barnaul,Asie / Barnaul
Asia/Chita,Asie / Chita
Asia/Irkutsk,Asie / Irkoutsk
Asia/Kamchatka,Asie / Kamchatka
Asia/Khandyga,Asie / Khandyga
Asia/Krasnoyarsk,Asie / Krasnoïarsk
Asia/Magadan,Asie / Magadan
Asia/Novokuznetsk,Asie / Novokuznetsk
Asia/Novosibirsk,Asie / Novosibirsk
Asia/Omsk,Asie / Omsk
Asia/Sakhalin,Asie / Sakhaline
Asia/Srednekolymsk,Asie / Srednekolymsk
Asia/Tomsk,Asie / Tomsk
Asia/Ust-Nera,Asie / Ust-Nera
Asia/Vladivostok,Asie / Vladivostok
Asia/Yakutsk,Asie / Yakutsk
Asia/Yekaterinburg,Asie / Ekaterinbourg
Europe/Astrakhan,Europe / Astrakhan
Europe/Kaliningrad,Europe / Kaliningrad
Europe/Kirov,Europe / Kirov
Europe/Moscow,Europe / Moscou
Europe/Samara,Europe / Samara
Europe/Saratov,Europe / Saratov
Europe/Ulyanovsk,Europe / Oulianovsk
Europe/Volgograd,Europe / Volgograd
Africa/Kigali,Afrique / Kigali
Asia/Riyadh,Asie / Riyad
Pacific/Guadalcanal,Pacifique / Guadalcanal
Indian/Mahe,Indien / Mahe
Africa/Khartoum,Afrique / Khartoum
Europe/Stockholm,Europe / Stockholm
Asia/Singapore,Asie / Singapour
Atlantic/St_Helena,Atlantique / St_Helena
Europe/Ljubljana,Europe / Ljubljana
Arctic/Longyearbyen,Arctique / Longyearbyen
Europe/Bratislava,Europe / Bratislava
Africa/Freetown,Afrique / Freetown
Europe/San_Marino,Europe / Saint-Marin
Africa/Dakar,Afrique / Dakar
Africa/Mogadishu,Afrique / Mogadiscio
America/Paramaribo,Amérique / Paramaribo
Africa/Juba,Afrique / Juba
Africa/Sao_Tome,Afrique / Sao_Tome
America/El_Salvador,Amérique / El_Salvador
America/Lower_Princes,Amérique / Lower_Princes
Asia/Damascus,Asie / Damas
Africa/Mbabane,Afrique / Mbabane
America/Grand_Turk,Amérique / Grand_Turk
Africa/Ndjamena,Afrique / Ndjamena
Indian/Kerguelen,Indien / Kerguelen
Africa/Lome,Afrique / Lomé
Asia/Bangkok,Asie / Bangkok
Asia/Dushanbe,Asie / Douchanbé
Pacific/Fakaofo,Pacifique / Fakaofo
Asia/Dili,Asie / Dili
Asia/Ashgabat,Asie / Achgabat
Africa/Tunis,Afrique / Tunis
Pacific/Tongatapu,Pacifique / Tongatapu
Europe/Istanbul,Europe / Istanbul
America/Port_of_Spain,Amérique / Port_de_Espagne
Pacific/Funafuti,Pacifique / Funafuti
Asia/Taipei,Asie / Taipei
Africa/Dar_es_Salaam,Afrique / Dar_es_Salaam
Europe/Kiev,Europe / Kiev
