English,Italian
Polish Zloty,Zloty polacco
Qatar Rial,Qatar Rial
Romanian Leu,Leu rumeno
Romanian New Leu,Rumeno Nuovo Leu
Russian Rouble,Rublo russo
Rwanda Franc,Franco ruandese
Samoa Tala,Samoa Tala
Sao Tome Dobra,Sao Tome Dobra
Saudi Arabian Riyal,Riyal dell'Arabia Saudita
Seychelles Rupee,Rupia delle Seychelles
Sierra Leone Leone,Sierra Leone Leone
Silver Ounces,Once d'argento
Singapore Dollar,Dollaro di Singapore
Slovak Koruna,Corona slovacca
Slovenian Tolar,Tolar sloveno
Somali Shilling,Scellino somalo
South African Rand,Rand sudafricano
Sri Lanka Rupee,Rupia dello Sri Lanka
St Helena Pound,St Helena Pound
Sudanese Dinar,Dinaro sudanese
Surinam Guilder,Fiorino del Suriname
Swaziland Lilageni,Swaziland Lilageni
Swedish Krona,Corona svedese
Swiss Franc,Franco svizzero
Syrian Pound,Sterlina siriana
Taiwan Dollar,Dollaro di Taiwan
Tanzanian Shilling,Scellino della Tanzania
Thai Baht,Baht thailandese
Tonga Paanga,Tonga Paanga
Trinidad&Tobago Dollar,Dollaro di Trinidad e Tobago
Tunisian Dinar,Dinaro tunisino
U.S. Dollar,Dollaro Americano
UAE Dirham,Dirham degli Emirati Arabi Uniti
Ugandan Shilling,Scellino ugandese
Ukraine Hryvnia,Grivnia ucraina
Uruguayan New Peso,Nuovo peso uruguaiano
Vanuatu Vatu,Vanuatu Vatu
Venezuelan Bolivar,Bolivar venezuelano
Vietnam Dong,Vietnam Dong
Yemen Riyal,Yemen Riyal
Zambian Kwacha,Kwacha dello Zambia
Zimbabwe Dollar,Dollaro dello Zimbabwe
Guyana Dollar,Dollaro della Guyana
Aruban florin,Fiorino di Aruba
Armenian dram,Dram armeno
Azerbaijani manat,Manat azero
Barbadian dollar,Dollaro Barbados
Bosnian Convertible Marka,Marco bosniaco convertibile
Botswana pula,Botswana pula
Cape Verdean escudo,Escudo capoverdiano
Congolese franc,Franco congolese
Fijian Dollar,Dollaro delle Figi
CFP franc,Franco CFP
Georgian lari,Lari georgiano
Iraqi dinar,Dinaro iracheno
Kyrgyzstani som,Som kyrgyzstani
Liberian dollar,Dollaro liberiano
Malagasy ariary,Ariary malgascio
Burmese Kyat,Kyat birmano
North Korean won,La Corea del Nord ha vinto
nuevo sol,nuevo sol
Serbian dinar,Dinaro serbo
South Korean won,La Corea del Sud ha vinto
South Sudanese pound,Sterlina sud-sudanese
Sudanese pound,Sterlina sudanese
Surinamese dollar,Dollaro surinamese
Tajikistani samani,Tagikistani samani
Turkish lira,Lira turca
Turkmenistan manat,Turkmenistan manat
Pound sterling,Lira sterlina
Uzbekistani soʻm,Uzbekistani soʻm
Saint Helena pound,Sterlina di Sant'Elena
Indian Rupees,Rupie indiane
CLI Pool,Pool CLI
Download,Scarica
TRUE,VERO
FALSE,FALSO
--Select Type--,--Seleziona tipo--
One Time,Una volta
Recurring,Ricorrente
Recurring Monthly,Mensile ricorrente
Outbound,In uscita
Default,Predefinito
Speed Dial Number Added Successfully,Numero di composizione rapida aggiunto con successo
"Are you sure want to confirm this invoice ? once you confirm it, can not able to edit invoice again.","Sei sicuro di voler confermare questa fattura? una volta confermato, non è possibile modificare nuovamente la fattura."
DIDs already purchased by someone.,DID già acquistati da qualcuno.
DIDs Assigned sucessfully!,DID assegnati con successo!
Something wrong.Please contact to administrator.,"Qualcosa non va, contatta l'amministratore."
Duplicate DID found from database,Duplicato DID trovato dal database
Account have not sufficient amount to purchase this DID.,L'account non dispone di una quantità sufficiente per acquistare questo DID.
Account not found or assign to invalid account,Account non trovato o assegnato a un account non valido
Duplicate DID found from import file.,Duplicato DID trovato dal file di importazione.
DIDs Imported Successfully!,DID importati con successo!
Insuffiecient fund to purchase this DID.,Fondo insufficiente per acquistare questo DID.
Balance Below Notification,Saldo sotto notifica
Edit SIP device,Modifica dispositivo SIP
Note : Page will display only receipts and confirmed invoices.,Nota: la pagina visualizzerà solo le ricevute e le fatture confermate.
Termination Rate Updated Successfully!,Tasso di terminazione aggiornato con successo!
Import Termination Rates Using Field Mapper,Importare le tariffe di terminazione utilizzando Field Mapper
Edit Roles & Permissions,Modifica ruoli e autorizzazioni
Create Roles & Permissions,Crea ruoli e autorizzazioni
Edit Admin,Modifica amministratore
Pin Updated Successfully!.,Pin aggiornato con successo !.
Create Termination Rate,Crea tariffa di terminazione
Edit Company Profile,Modifica il profilo dell'azienda
Website,Sito web
Generate Invoice for no usage,Genera fattura per nessun utilizzo
Commission Repots,Commissione repots
Top Up,Riempire
Purchase DIDs,Acquista DID
Package,Pacchetto
Setup,Impostare
DID Purchased Successfully.,ACQUISTATO CON SUCCESSO.
release,pubblicazione
DID Batch Updated Successfully!,Batch aggiornato con successo!
DID forwading set sucessfully!,È stato fatto con successo il set di guadagno
Are you sure want to release DID?,Sei sicuro di voler rilasciare DID?
Please select atleast one record,Seleziona almeno un record
Account Balance,Saldo del conto
Next Bill Date,Data di fatturazione successiva
TOTAL AMOUNT,IMPORTO TOTALE
Invoice,Fattura
IP Address,Indirizzo IP
Terminate,Terminare
Seconds,Secondi
Recording,Registrazione
Rates,Aliquote
Paid,Pagato
No Records,Nessuna registrazione
Please select from date,Seleziona dalla data
Please select to date,Seleziona fino ad oggi
Please select to date bigger than from date,Seleziona una data maggiore della data
Confirm,Confermare
Edit Country,Modifica paese
Skip Header,Salta intestazione
Origination_rate_error,Origination_rate_error
Termination_rate_error,Termination_rate_error
Termination_Rates,Termination_Rates
Origination_Rates,Origination_Rates
refill_coupon,refill_coupon
Edit Reseller,Modifica rivenditore
Edit Calltype,Modifica Calltype
updated successfully!,aggiornato con successo!
added successfully!,aggiunto con successo!
Invoice generation completed .,Generazione della fattura completata.
NOTE,NOTA
No data found.,Nessun dato trovato.
Added successfully!,Aggiunto con successo!
DID added successfully!,FATTO aggiunto con successo!
DID updated successfully!,AGGIORNATO CON SUCCESSO!
File must be in the following format(.csv):,Il file deve essere nel seguente formato (.csv):
Process,Processi
DID Import Error,Errore di importazione DID
Records Imported Successfully,Record importati correttamente
Records Not Imported,Record non importati
Back to DID List,Torna all'elenco DID
DID Batch Updated Successfully!,Batch aggiornato con successo!
Accessnumber Added Successfully!,Numero di accesso aggiunto con successo!
Process,Processi
Accessnumber Import Error,Errore di importazione del numero di accesso
DIDs Assigned sucessfully!,DID assegnati con successo!
Origination Rates Preview,Anteprima dei tassi di origine
Origination Rates Import Error,Errore di importazione dei tassi di origine
Back to Origination Rates List,Torna all'elenco delle tariffe di origine
Origination Rates Batch Updated Successfully!,Batch di tassi di origine aggiornati con successo!
Import Ratedeck Preview,Importa anteprima Ratedeck
CALLTYPE,CALLTYPE
Edit Calltype,Modifica Calltype
Outbound-Proxy,Proxy in uscita
Edit Trunk,Modifica tronco
Termination Rate Added Successfully!,Tasso di terminazione aggiunto con successo!
Edit Termination Rate,Modifica tasso di terminazione
Termination Rates Import Error,Errore di importazione delle tariffe di terminazione
Termination Rates Imported Successfully!,Tariffe di terminazione importate con successo!
Back to Origination Rates List,Torna all'elenco delle tariffe di origine
Select,Selezionare
pattern,modello
comment,commento
connectcost,connectcost
includedseconds,inclusi secondi
init_inc,init_inc
inc,inc
prepend,anteporre
cost,costo
strip,striscia
DID added successfully!,FATTO aggiunto con successo!
DID updated successfully!,AGGIORNATO CON SUCCESSO!
Country Name,Nome del paese
PAID,PAGATO
PENDING,IN ATTESA DI
FAIL,FALLIRE
ORDER,ORDINE
payment method,metodo di pagamento
Terminate Order,Termina ordine
Compose Email,Componi email
Message,Messaggio
Send,Spedire
SIP Port is Required.,La porta SIP è obbligatoria.
Start,Inizio
SIP Port is Required.,La porta SIP è obbligatoria.
SIP IP is Required.,L'IP SIP è obbligatorio.
Name is Required.,Il nome è obbligatorio.
The SIP Port field is Required.,Il campo Porta SIP è obbligatorio.
The SIP Port field must contain only numbers.,Il campo Porta SIP deve contenere solo numeri.
The SIP Port field can not exceed 5 characters in length.,Il campo Porta SIP non può superare i 5 caratteri di lunghezza.
Value is Required.,È necessario il valore.
Value,Valore
Update Setting,Aggiorna impostazione
Add Setting,Aggiungi impostazione
Edit Freeswitch Server,Modifica Freeswitch Server
CUT,TAGLIO
ADD,INSERISCI
Edit Localization,Modifica localizzazione
Callbarring Settings Added Successfully!,Impostazioni di Callbarring aggiunte con successo!
Edit Call Barring,Modifica blocco chiamate
Callbarring Settings Updated Successfully!,Impostazioni di Callbarring aggiornate con successo!
The Name field is required.,È richiesto il campo nome.
Please select file.,Seleziona il file.
Database import allows only gzfile types of file.,L'importazione del database consente solo i tipi di file gzfile.
File must be in (.gz) format :,Il file deve essere in formato (.gz):
The Coupon Number field must contain only numbers.,Il campo Numero coupon deve contenere solo numeri.
The Coupon Number field have inactive refill coupon.,Il campo Numero coupon ha un coupon di ricarica inattivo.
This Coupon Number is already in use.,Questo numero di coupon è già in uso.
This Coupon Number is not found.,Questo numero di coupon non è stato trovato.
The Coupon Number field is required.,Il campo Numero coupon è obbligatorio.
Select Customer.,Seleziona cliente.
Please enter your email,Per favore inserisci la tua email
Please enter proper email,Si prega di inserire l'email corretta
The Caller ID field is required.,Il campo ID chiamante è obbligatorio.
Please enter your password,per favore inserisci LA TUA password
Please enter your first name,Per favore immettere il proprio Nome
Please enter your email,Per favore inserisci la tua email
This field is require,Questo campo è obbligatorio
The IP field must contain a unique value.,Il campo IP deve contenere un valore univoco.
The Name field is required.,È richiesto il campo nome.
The IP field is required.,Il campo IP è obbligatorio.
Please Enter Valid Account Number,Immettere un numero di conto valido
Main,Principale
--Select Disposition--,--Seleziona Disposizione--
Group By #time,Raggruppa per #time
Active User,Utente attivo
Used Minutes,Minuti usati
Available Minutes,Minuti disponibili
Total Price,Prezzo totale
Total User,Utente totale
Resend Mail,Invia di nuovo posta
Restore,Ristabilire
View Details,Visualizza dettagli
Other,Altro
Edit Tax,Modifica tasse
Edit Country,Modifica paese
Download Database,Scarica database
Import Database,Importa database
File must be in (.gz) format,Il file deve essere in formato (.gz)
Please select file.,Seleziona il file.
Please enter name and select file.,Inserisci il nome e seleziona il file.
Edit Cron Settings,Modifica impostazioni cron
Global Settings updated sucessfully!,Impostazioni globali aggiornate con successo!
Alert Notifications,Notifiche di avviso
Fraud Configuration,Configurazione antifrode
Configuration Add,Configurazione aggiunta
Alarm Configuration,Configurazione allarme
Please select atleast one pattern.,Seleziona almeno un modello.
Problem In Add Patterns to account.,Problema in Aggiungi modelli all'account.
Blocked Codes,Codici bloccati
The IP field must contain a unique value.,Il campo IP deve contenere un valore univoco.
The IP field is required.,Il campo IP è obbligatorio.
Please Enter Switch command,Immettere il comando Cambia
are you sure to delete?,sei sicuro di cancellare?
Are you sure want to confirm this invoice ? once you confirm it,Sei sicuro di voler confermare questa fattura? una volta confermato
can not able to edit invoice again.,non è in grado di modificare nuovamente la fattura.
Maximum Logo upload size is 1MB,La dimensione massima di caricamento del logo è 1 MB
Profit per day,Utile al giorno
Please enter number,Si prega di inserire il numero
Import Customer,Importa cliente
Processing,in lavorazione
please wait,attendere prego
Low Balance,Basso equilibrio
Trunk Statistics,Statistiche del tronco
Current Balance,Bilancio corrente
Europe/Andorra,Europa / Andorra
Asia/Dubai,Asia / Dubai
Asia/Kabul,Asia / Kabul
America/Antigua,America / Antigua
America/Anguilla,America / Anguilla
Europe/Tirane,Europa / Tirana
Asia/Yerevan,Asia / Yerevan
Africa/Luanda,Africa / Luanda
Antarctica/Casey,Antartide / Casey
Antarctica/Davis,Antartide / Davis
Antarctica/DumontDUrville,Antartide / DumontDUrville
Antarctica/Mawson,Antartide / Mawson
Antarctica/McMurdo,Antartide / McMurdo
Antarctica/Palmer,Antartide / Palmer
Antarctica/Rothera,Antartide / Rothera
Antarctica/Syowa,Antartide / Syowa
Antarctica/Troll,Antartide / Troll
Antarctica/Vostok,Antartide / Vostok
America/Argentina/Buenos_Aires,America / Argentina / Buenos_Aires
America/Argentina/Catamarca,America / Argentina / Catamarca
America/Argentina/Cordoba,America / Argentina / Cordoba
America/Argentina/Jujuy,America / Argentina / Jujuy
America/Argentina/La_Rioja,America / Argentina / La_Rioja
America/Argentina/Mendoza,America / Argentina / Mendoza
America/Argentina/Rio_Gallegos,America / Argentina / Rio_Gallegos
America/Argentina/Salta,America / Argentina / Salta
America/Argentina/San_Juan,America / Argentina / San_Juan
America/Argentina/San_Luis,America / Argentina / San_Luis
America/Argentina/Tucuman,America / Argentina / Tucuman
America/Argentina/Ushuaia,America / Argentina / Ushuaia
Pacific/Pago_Pago,Pacific / Pago_Pago
Europe/Vienna,Europa / Vienna
Antarctica/Macquarie,Antartide / Macquarie
Australia/Adelaide,Australia / Adelaide
Australia/Brisbane,Australia / Brisbane
Australia/Broken_Hill,Australia / Broken_Hill
Australia/Currie,Australia / Currie
Australia/Darwin,Australia / Darwin
Australia/Eucla,Australia / Eucla
Australia/Hobart,Australia / Hobart
Australia/Lindeman,Australia / Lindeman
Australia/Lord_Howe,Australia / Lord_Howe
Australia/Melbourne,Australia / Melbourne
Australia/Perth,Australia / Perth
Australia/Sydney,Australia / Sydney
America/Aruba,America / Aruba
Europe/Mariehamn,Europa / Mariehamn
Asia/Baku,Asia / Baku
Europe/Sarajevo,Europa / Sarajevo
America/Barbados,America / Barbados
Asia/Dhaka,Asia / Dhaka
Europe/Brussels,Europa / Bruxelles
Africa/Ouagadougou,Africa / Ouagadougou
Europe/Sofia,Europa / Sofia
Asia/Bahrain,Asia / Bahrein
Africa/Bujumbura,Africa / Bujumbura
Africa/Porto-Novo,Africa / Porto-Novo
America/St_Barthelemy,America / St_Barthelemy
Atlantic/Bermuda,Atlantico / Bermuda
Asia/Brunei,Asia / Brunei
America/La_Paz,America / La_Paz
America/Kralendijk,America / Kralendijk
America/Araguaina,America / Araguaina
America/Bahia,America / Bahia
America/Belem,America / Belem
America/Boa_Vista,America / Boa_Vista
America/Campo_Grande,America / Campo_Grande
America/Cuiaba,America / Cuiaba
America/Eirunepe,America / Eirunepe
America/Fortaleza,America / Fortaleza
America/Maceio,America / Maceio
America/Manaus,America / Manaus
America/Noronha,America / Noronha
America/Porto_Velho,America / Porto_Velho
America/Recife,America / Recife
America/Rio_Branco,America / Rio_Branco
America/Santarem,America / Santarem
America/Sao_Paulo,America / Sao_Paulo
America/Nassau,America / Nassau
Asia/Thimphu,Asia / Thimphu
Africa/Gaborone,Africa / Gaborone
Europe/Minsk,Europa / Minsk
America/Belize,America / Belize
America/Atikokan,America / Atikokan
America/Blanc-Sablon,America / Blanc-Sablon
America/Cambridge_Bay,America / Cambridge_Bay
America/Creston,America / Creston
America/Dawson,America / Dawson
America/Dawson_Creek,America / Dawson_Creek
America/Edmonton,America / Edmonton
America/Fort_Nelson,America / Fort_Nelson
America/Glace_Bay,America / Glace_Bay
America/Goose_Bay,America / Goose_Bay
America/Halifax,America / Halifax
America/Inuvik,America / Inuvik
America/Iqaluit,America / Iqaluit
America/Moncton,America / Moncton
America/Nipigon,America / Nipigon
America/Pangnirtung,America / Pangnirtung
America/Rainy_River,America / Rainy_River
America/Rankin_Inlet,America / Rankin_Inlet
America/Regina,America / Regina
America/Resolute,America / Resolute
America/St_Johns,America / St_Johns
America/Swift_Current,America / Swift_Current
America/Thunder_Bay,America / Thunder_Bay
America/Toronto,America / Toronto
America/Vancouver,America / Vancouver
America/Whitehorse,America / Whitehorse
America/Winnipeg,America / Winnipeg
America/Yellowknife,America / Yellowknife
Indian/Cocos,Indiano / Cocos
Africa/Kinshasa,Africa / Kinshasa
Africa/Lubumbashi,Africa / Lubumbashi
Africa/Bangui,Africa / Bangui
Africa/Brazzaville,Africa / Brazzaville
Europe/Zurich,Europa / Zurigo
Africa/Abidjan,Africa / Abidjan
Pacific/Rarotonga,Pacifico / Rarotonga
America/Punta_Arenas,America / Punta_Arenas
America/Santiago,America / Santiago
Pacific/Easter,Pacifico / Pasqua
Africa/Douala,Africa / Douala
Asia/Shanghai,Asia / Shanghai
Asia/Urumqi,Asia / Urumqi
America/Bogota,America / Bogotà
America/Costa_Rica,America / Costa_Rica
America/Havana,America / L'Avana
Atlantic/Cape_Verde,Atlantic / Cape_Verde
America/Curacao,America / Curacao
Indian/Christmas,Indiano / Natale
Asia/Famagusta,Asia / Famagosta
Asia/Nicosia,Asia / Nicosia
Europe/Prague,Europa / Praga
Europe/Berlin,Europa / Berlino
Europe/Busingen,Europa / Busingen
Africa/Djibouti,Africa / Gibuti
Europe/Copenhagen,Europa / Copenaghen
America/Dominica,America / Dominica
America/Santo_Domingo,America / Santo_Domingo
Africa/Algiers,Africa / Algeri
America/Guayaquil,America / Guayaquil
Pacific/Galapagos,Pacifico / Galapagos
Europe/Tallinn,Europa / Tallinn
Africa/Cairo,Africa / Cairo
Africa/El_Aaiun,Africa / El_Aaiun
Africa/Asmara,Africa / Asmara
Africa/Ceuta,Africa / Ceuta
Atlantic/Canary,Atlantico / Canarie
Europe/Madrid,Europa / Madrid
Africa/Addis_Ababa,Africa / Addis_Ababa
Europe/Helsinki,Europa / Helsinki
Pacific/Fiji,Pacifico / Figi
Atlantic/Stanley,Atlantic / Stanley
Pacific/Chuuk,Pacifico / Chuuk
Pacific/Kosrae,Pacifico / Kosrae
Pacific/Pohnpei,Pacifico / Pohnpei
Atlantic/Faroe,Atlantico / Faroe
Europe/Paris,Europa / Parigi
Africa/Libreville,Africa / Libreville
Europe/London,Europa / Londra
America/Grenada,America / Grenada
Asia/Tbilisi,Asia / Tbilisi
America/Cayenne,America / Cayenne
Europe/Guernsey,Europa / Guernsey
Africa/Accra,Africa / Accra
Europe/Gibraltar,Europa / Gibilterra
America/Danmarkshavn,America / Danmarkshavn
America/Nuuk,America / Nuuk
America/Scoresbysund,America / Scoresbysund
America/Thule,America / Thule
Africa/Banjul,Africa / Banjul
Africa/Conakry,Africa / Conakry
America/Guadeloupe,America / Guadalupa
Africa/Malabo,Africa / Malabo
Europe/Athens,Europa / Atene
Atlantic/South_Georgia,Atlantic / South_Georgia
America/Guatemala,America / Guatemala
Pacific/Guam,Pacifico / Guam
Africa/Bissau,Africa / Bissau
America/Guyana,America / Guyana
Asia/Hong_Kong,Asia / Hong_Kong
America/Tegucigalpa,America / Tegucigalpa
Europe/Zagreb,Europa / Zagabria
America/Port-au-Prince,America / Port-au-Prince
Europe/Budapest,Europa / Budapest
Asia/Jakarta,Asia / Giacarta
Asia/Jayapura,Asia / Jayapura
Asia/Makassar,Asia / Makassar
Asia/Pontianak,Asia / Pontianak
Europe/Dublin,Europa / Dublino
Asia/Jerusalem,Asia / Gerusalemme
Europe/Isle_of_Man,Europa / Isle_of_Man
Asia/Kolkata,Asia / Calcutta
Indian/Chagos,Indiano / Chagos
Asia/Baghdad,Asia / Baghdad
Asia/Tehran,Asia / Teheran
Atlantic/Reykjavik,Atlantico / Reykjavik
Europe/Rome,Europa / Roma
Europe/Jersey,Europa / Jersey
America/Jamaica,America / Giamaica
Asia/Amman,Asia / Amman
Asia/Tokyo,Asia / Tokyo
Africa/Nairobi,Africa / Nairobi
Asia/Bishkek,Asia / Bishkek
Asia/Phnom_Penh,Asia / Phnom_Penh
Pacific/Enderbury,Pacifico / Enderbury
Pacific/Kiritimati,Pacifico / Kiritimati
Pacific/Tarawa,Pacifico / Tarawa
Indian/Comoro,Indiano / Comoro
America/St_Kitts,America / St_Kitts
Asia/Pyongyang,Asia / Pyongyang
Asia/Seoul,Asia / Seoul
Asia/Kuwait,Asia / Kuwait
America/Cayman,America / Cayman
Asia/Almaty,Asia / Almaty
Asia/Aqtau,Asia / Aqtau
Asia/Aqtobe,Asia / Aqtobe
Asia/Atyrau,Asia / Atyrau
Asia/Oral,Asia / orale
Asia/Qostanay,Asia / Qostanay
Asia/Qyzylorda,Asia / Qyzylorda
Asia/Vientiane,Asia / Vientiane
Asia/Beirut,Asia / Beirut
America/St_Lucia,America / St_Lucia
Europe/Vaduz,Europa / Vaduz
Asia/Colombo,Asia / Colombo
Africa/Monrovia,Africa / Monrovia
Africa/Maseru,Africa / Maseru
Europe/Vilnius,Europa / Vilnius
Europe/Luxembourg,Europa / Lussemburgo
Europe/Riga,Europa / Riga
Africa/Tripoli,Africa / Tripoli
Africa/Casablanca,Africa / Casablanca
Europe/Monaco,Europa / Monaco
Europe/Chisinau,Europa / Chisinau
Europe/Podgorica,Europa / Podgorica
America/Marigot,America / Marigot
Indian/Antananarivo,Indiano / Antananarivo
Pacific/Kwajalein,Pacifico / Kwajalein
Pacific/Majuro,Pacifico / Majuro
Europe/Skopje,Europa / Skopje
Africa/Bamako,Africa / Bamako
Asia/Yangon,Asia / Yangon
Asia/Choibalsan,Asia / Choibalsan
Asia/Hovd,Asia / Hovd
Asia/Ulaanbaatar,Asia / Ulaanbaatar
Asia/Macau,Asia / Macao
Pacific/Saipan,Pacifico / Saipan
America/Martinique,America / Martinica
Africa/Nouakchott,Africa / Nouakchott
America/Montserrat,America / Montserrat
Europe/Malta,Europa / Malta
Indian/Mauritius,Indiano / Mauritius
Indian/Maldives,Indiano / Maldive
Africa/Blantyre,Africa / Blantyre
America/Bahia_Banderas,America / Bahia_Banderas
America/Cancun,America / Cancun
America/Chihuahua,America / Chihuahua
America/Hermosillo,America / Hermosillo
America/Matamoros,America / Matamoros
America/Mazatlan,America / Mazatlan
America/Merida,America / Merida
America/Mexico_City,America / Mexico_City
America/Monterrey,America / Monterrey
America/Ojinaga,America / Ojinaga
America/Tijuana,America / Tijuana
Asia/Kuala_Lumpur,Asia / Kuala_Lumpur
Asia/Kuching,Asia / Kuching
Africa/Maputo,Africa / Maputo
Africa/Windhoek,Africa / Windhoek
Pacific/Noumea,Pacifico / Noumea
Africa/Niamey,Africa / Niamey
Pacific/Norfolk,Pacifico / Norfolk
Africa/Lagos,Africa / Lagos
America/Managua,America / Managua
Europe/Amsterdam,Europa / Amsterdam
Europe/Oslo,Europa / Oslo
Asia/Kathmandu,Asia / Kathmandu
Pacific/Nauru,Pacifico / Nauru
Pacific/Niue,Pacifico / Niue
Pacific/Auckland,Pacifico / Auckland
Pacific/Chatham,Pacifico / Chatham
Asia/Muscat,Asia / Moscato
America/Panama,America / Panama
America/Lima,America / Lima
Pacific/Gambier,Pacifico / Gambier
Pacific/Marquesas,Pacifico / Marquesas
Pacific/Tahiti,Pacifico / Tahiti
Pacific/Bougainville,Pacifico / Bougainville
Pacific/Port_Moresby,Pacifico / Port_Moresby
Asia/Manila,Asia / Manila
Asia/Karachi,Asia / Karachi
Europe/Warsaw,Europa / Varsavia
America/Miquelon,America / Miquelon
Pacific/Pitcairn,Pacifico / Pitcairn
America/Puerto_Rico,America / Puerto_Rico
Asia/Gaza,Asia / Gaza
Asia/Hebron,Asia / Hebron
Atlantic/Azores,Atlantico / Azzorre
Atlantic/Madeira,Atlantico / Madeira
Europe/Lisbon,Europa / Lisbona
Pacific/Palau,Pacifico / Palau
America/Asuncion,America / Asunción
Asia/Qatar,Asia / Qatar
Indian/Reunion,Indiano / Riunione
Europe/Bucharest,Europa / Bucarest
Europe/Belgrade,Europa / Belgrado
Asia/Anadyr,Asia / Anadyr
Asia/Barnaul,Asia / Barnaul
Asia/Chita,Asia / Chita
Asia/Irkutsk,Asia / Irkutsk
Asia/Kamchatka,Asia / Kamchatka
Asia/Khandyga,Asia / Khandyga
Asia/Krasnoyarsk,Asia / Krasnoyarsk
Asia/Magadan,Asia / Magadan
Asia/Novokuznetsk,Asia / Novokuznetsk
Asia/Novosibirsk,Asia / Novosibirsk
Asia/Omsk,Asia / Omsk
Asia/Sakhalin,Asia / Sakhalin
Asia/Srednekolymsk,Asia / Srednekolymsk
Asia/Tomsk,Asia / Tomsk
Asia/Ust-Nera,Asia / Ust-Nera
Asia/Vladivostok,Asia / Vladivostok
Asia/Yakutsk,Asia / Yakutsk
Asia/Yekaterinburg,Asia / Ekaterinburg
Europe/Astrakhan,Europa / Astrakhan
Europe/Kaliningrad,Europa / Kaliningrad
Europe/Kirov,Europa / Kirov
Europe/Moscow,Europa / Mosca
Europe/Samara,Europa / Samara
Europe/Saratov,Europa / Saratov
Europe/Ulyanovsk,Europa / Ulyanovsk
Europe/Volgograd,Europa / Volgograd
Africa/Kigali,Africa / Kigali
Asia/Riyadh,Asia / Riyadh
Pacific/Guadalcanal,Pacifico / Guadalcanal
Indian/Mahe,Indiano / Mahe
Africa/Khartoum,Africa / Khartoum
Europe/Stockholm,Europa / Stoccolma
Asia/Singapore,Asia / Singapore
Atlantic/St_Helena,Atlantic / St_Helena
Europe/Ljubljana,Europa / Lubiana
Arctic/Longyearbyen,Artico / Longyearbyen
Europe/Bratislava,Europa / Bratislava
Africa/Freetown,Africa / Freetown
Europe/San_Marino,Europa / San_Marino
Africa/Dakar,Africa / Dakar
Africa/Mogadishu,Africa / Mogadiscio
America/Paramaribo,America / Paramaribo
Africa/Juba,Africa / Juba
Africa/Sao_Tome,Africa / Sao_Tome
America/El_Salvador,America / El_Salvador
America/Lower_Princes,America / Lower_Princes
Asia/Damascus,Asia / Damasco
Africa/Mbabane,Africa / Mbabane
America/Grand_Turk,America / Grand_Turk
Africa/Ndjamena,Africa / Ndjamena
Indian/Kerguelen,Indiano / Kerguelen
Africa/Lome,Africa / Lomé
Asia/Bangkok,Asia / Bangkok
Asia/Dushanbe,Asia / Dushanbe
Pacific/Fakaofo,Pacific / Fakaofo
Asia/Dili,Asia / Dili
Asia/Ashgabat,Asia / Ashgabat
Africa/Tunis,Africa / Tunisi
Pacific/Tongatapu,Pacifico / Tongatapu
Europe/Istanbul,Europa / Istanbul
America/Port_of_Spain,America / Port_of_Spain
Pacific/Funafuti,Pacific / Funafuti
Asia/Taipei,Asia / Taipei
Africa/Dar_es_Salaam,Africa / Dar_es_Salaam
Europe/Kiev,Europa / Kiev
Europe/Simferopol,Europa / Simferopol
Europe/Uzhgorod,Europa / Uzhgorod
Europe/Zaporozhye,Europa / Zaporozhye
Africa/Kampala,Africa / Kampala
Pacific/Midway,Pacifico / Midway
Pacific/Wake,Pacifico / Wake
America/Adak,America / Adak
America/Anchorage,America / Anchorage
America/Boise,America / Boise
America/Chicago,America / Chicago
America/Denver,America / Denver
America/Detroit,America / Detroit
America/Indiana/Indianapolis,America / Indiana / Indianapolis
America/Indiana/Knox,America / Indiana / Knox
America/Indiana/Marengo,America / Indiana / Marengo
America/Indiana/Petersburg,America / Indiana / Pietroburgo
America/Indiana/Tell_City,America / Indiana / Tell_City
America/Indiana/Vevay,America / Indiana / Vevay
America/Indiana/Vincennes,America / Indiana / Vincennes
America/Indiana/Winamac,America / Indiana / Winamac
America/Juneau,America / Juneau
America/Kentucky/Louisville,America / Kentucky / Louisville
America/Kentucky/Monticello,America / Kentucky / Monticello
America/Los_Angeles,America / Los_Angeles
America/Menominee,America / Menominee
America/Metlakatla,America / Metlakatla
America/New_York,America / New_York
America/Nome,America / Nome
America/North_Dakota/Beulah,America / North_Dakota / Beulah
America/North_Dakota/Center,America / North_Dakota / Center
America/North_Dakota/New_Salem,America / North_Dakota / New_Salem
America/Phoenix,America / Phoenix
America/Sitka,America / Sitka
America/Yakutat,America / Yakutat
Pacific/Honolulu,Pacifico / Honolulu
America/Montevideo,America / Montevideo
Asia/Samarkand,Asia / Samarcanda
Asia/Tashkent,Asia / Tashkent
Europe/Vatican,Europa / Vaticano
America/St_Vincent,America / St_Vincent
America/Caracas,America / Caracas
America/Tortola,America / Tortola
America/St_Thomas,America / St_Thomas
Asia/Ho_Chi_Minh,Asia / Ho_Chi_Minh
Pacific/Efate,Pacifico / Efate
Pacific/Wallis,Pacifico / Wallis
Pacific/Apia,Pacifico / Apia
Asia/Aden,Asia / Aden
Indian/Mayotte,Indiano / Mayotte
Africa/Johannesburg,Africa / Johannesburg
Africa/Lusaka,Africa / Lusaka
